,XGCSWGS84,YGCSWGS84,UKATEGORIE
72526,11.618872340000053,48.11808012400007,3
72693,11.48836316200004,48.086156318000064,3
72914,11.551591330000065,48.18607199500008,3
73043,11.616215849000072,48.11320302300004,3
73084,11.575574136000055,48.11035210600005,2
73186,11.457043101000068,48.15325524700006,3
73227,11.531221900000048,48.18718053300007,3
73229,11.535546385000032,48.14637997700004,3
73309,11.519774916000074,48.07234275700006,3
73310,11.54103991900007,48.18486719700008,3
73442,11.58435618900006,48.187540428000034,3
73445,11.616665167000065,48.15499217900003,2
73447,11.475082095000062,48.14531966100003,3
73534,11.614957185000035,48.12944818400007,2
73550,11.677579845000023,48.11933349800007,3
73554,11.502044518000048,48.14334420800003,3
73556,11.592587527000036,48.17561743200008,3
73582,11.502836684000044,48.14331793900004,3
73676,11.509671663000065,48.10639646700008,3
73688,11.46937880400003,48.20970084900006,3
73689,11.442481920000034,48.17473291100004,3
73705,11.670229321000022,48.13805466500003,3
73715,11.569881967000072,48.111556879000034,3
73724,11.534518852000076,48.13751702400003,3
73727,11.53632879600002,48.146244196000055,3
73757,11.519351424000035,48.12241400600004,3
73764,11.485850158000062,48.20822401700008,3
73781,11.457954467000036,48.20627282600003,3
73800,11.481855750000022,48.209659172000045,3
73873,11.62009267700006,48.12034765200008,3
73887,11.61708016500006,48.130786338000064,3
73963,11.503617690000056,48.21552033200004,3
73965,11.540656202000037,48.17638006100003,3
74022,11.479261527000062,48.12367739500007,3
74039,11.520939291000047,48.07361657800004,2
74164,11.695287656000062,48.11541759900008,2
74167,11.540206477000028,48.17503357200008,3
74172,11.479203483000047,48.14518865600007,3
74174,11.52180062700006,48.18987763300004,3
74175,11.501838532000022,48.125566183000046,3
74231,11.502641445000052,48.14300783800008,3
74260,11.394475570000054,48.14352414700005,2
74273,11.616273339000031,48.19483981500008,2
74320,11.473817423000073,48.20972427000004,3
74335,11.59502849200004,48.17791211300005,3
74402,11.533878135000066,48.134091547000025,3
74439,11.501025412000049,48.143229578000046,3
74440,11.415975343000072,48.16798532500008,3
74475,11.634921447000067,48.23255080200005,3
74538,11.615127345000076,48.11215617400006,3
74562,11.54581279100006,48.17630268100004,3
74581,11.508605686000069,48.10585829500008,3
74582,11.50418651600006,48.10392947600008,2
74631,11.569829026000036,48.10468022500004,3
74639,11.584333550000052,48.19563003400003,3
74643,11.605244127000049,48.180641026000046,3
74649,11.472099531000026,48.14541913700003,3
74691,11.461388010000064,48.14942374300006,3
74716,11.510235280000074,48.10690769500008,3
74833,11.507236048000038,48.125498941000046,3
74839,11.55683726500007,48.17851953500008,3
74867,11.521950231000062,48.18983163700005,3
74892,11.629618376000051,48.12850941800008,3
74971,11.576163650000067,48.11147364800007,2
74996,11.534106443000042,48.08626057800007,3
75019,11.638483974000051,48.23966885300007,3
75021,11.502922540000045,48.214943565000056,3
75043,11.448494319000076,48.14626081600005,3
75093,11.644918361000066,48.12600234800004,3
75135,11.42809754700005,48.184268477000046,3
75141,11.531940587000063,48.22488893900004,3
75147,11.541238337000038,48.18636911200008,3
75243,11.491782310000076,48.20123725800005,3
75267,11.676854340000034,48.11950627900006,3
75296,11.509480778000068,48.12518941900004,3
75316,11.64847874800006,48.08384105500005,3
75379,11.490652247000073,48.08481947100007,3
75404,11.496572280000066,48.14372644200006,3
75438,11.425328861000024,48.18609470000007,3
75453,11.551503935000028,48.18631582300002,3
75492,11.479528798000048,48.08861759200005,3
75499,11.524284370000032,48.07620469900007,3
75502,11.422798202000024,48.14270036100004,3
75503,11.51734341100007,48.11824242200004,3
75506,11.66469685800007,48.12134544600008,3
75507,11.656048871000053,48.09326464700007,3
75582,11.537608126000066,48.160483244000034,3
75620,11.638845846000038,48.126646194000045,3
75622,11.526084514000049,48.07761072300008,2
75673,11.529968536000068,48.14024862400004,3
75691,11.644631837000077,48.21171910000004,3
75781,11.579033073000062,48.17772512800008,3
75790,11.482014632000071,48.08792098300006,3
75791,11.541296469000033,48.10077134000005,3
75855,11.455822344000069,48.20487066200008,3
75870,11.491159322000044,48.14426472600008,3
75946,11.396268632000044,48.13976094700007,3
75992,11.485069169000042,48.21023738600008,3
76036,11.408239636000076,48.12793981300007,2
76077,11.552943172000028,48.17610155900008,3
76129,11.516427275000067,48.12388405100006,3
76153,11.490277905000028,48.209569345000034,2
76155,11.492407004000029,48.20051741900005,3
76160,11.480216436000036,48.216749778000064,3
76165,11.536427957000058,48.14879308400003,3
76190,11.585569510000028,48.20262119800003,2
76230,11.396356216000072,48.139588650000064,2
76248,11.51250704900002,48.10783358000003,3
76308,11.483859472000065,48.21342823800006,3
76352,11.584983042000031,48.18157634700003,3
76373,11.61997738200006,48.12011902400008,3
76374,11.479824318000055,48.12325409800008,3
76380,11.487411314000042,48.08610810500005,3
76401,11.651650085000028,48.10450016600004,3
76426,11.534001144000058,48.13989652200007,3
76427,11.582080029000052,48.10448143800005,3
76435,11.68339669900007,48.11840465200004,3
76437,11.400937119000048,48.131291461000046,3
76481,11.63126945600004,48.20715513600004,3
76482,11.491337479000038,48.09711623200008,3
76484,11.51230362900003,48.10773038000008,3
76486,11.567783391000034,48.17675186100007,3
76488,11.513350625000044,48.10826123100002,3
76503,11.403243229000054,48.12848884300007,3
76514,11.69853740700006,48.11419672800008,3
76517,11.421967369000072,48.17224760900008,3
76521,11.614523415000065,48.11169845200004,3
76532,11.637551162000022,48.23778702700008,3
76573,11.615409120000038,48.13096937000006,3
76644,11.584733764000076,48.18431379500004,2
76749,11.614461864000075,48.15296923500006,3
76770,11.487434952000058,48.08644248600008,3
76772,11.653797187000066,48.09414817700008,3
76781,11.624759060000033,48.12949427500007,3
76982,11.48541171200003,48.14482581500005,3
77040,11.539960273000077,48.11059269900005,3
77041,11.437020430000077,48.20403549100007,3
77134,11.434441185000026,48.179902998000045,2
77136,11.554688771000032,48.112355250000064,3
77148,11.648878263000029,48.12548673400005,3
77152,11.53273329700005,48.22492447300005,3
77156,11.578694308000024,48.10983272000004,3
77175,11.62511402800004,48.21298699600004,3
77193,11.509480778000068,48.12518941900004,3
77202,11.582299683000032,48.10508675600005,3
77216,11.613405343000068,48.10412592000006,3
77243,11.702320862000022,48.11295468600008,3
77252,11.441995483000028,48.14911992000003,3
77262,11.637585415000046,48.10600821000003,3
77268,11.51842711000006,48.14138340400008,3
77275,11.481589186000065,48.14510973300003,3
77329,11.503894771000034,48.10331971400007,3
77341,11.651128784000036,48.12530264200007,3
77370,11.44644691900004,48.204298736000055,3
77373,11.427491161000034,48.18449141600007,3
77383,11.593423318000076,48.17536368400005,3
77389,11.616169929000025,48.13109820400008,3
77393,11.513936011000055,48.11329437800004,3
77426,11.707816800000046,48.144660397000045,3
77547,11.486070183000038,48.20905264700008,3
77575,11.620273352000028,48.12087275400006,3
77588,11.559371245000024,48.11248851800008,3
77665,11.50547440200006,48.12554997500007,2
77698,11.486047623000047,48.20918690000008,3
77708,11.617384389000051,48.11483094800008,3
77710,11.551765974000034,48.185941507000045,3
77712,11.603948412000022,48.17958700100007,3
77791,11.456243637000057,48.16413011000003,3
77805,11.566876644000049,48.10093717500007,3
77957,11.59776077600003,48.16219252600007,3
77968,11.489663385000028,48.20947525100007,3
77993,11.556988372000037,48.11212618200005,3
78006,11.671770362000077,48.11961309400005,3
78020,11.475015969000026,48.12353975600007,3
78064,11.496861511000075,48.14369671200007,3
78091,11.584331950000037,48.195620142000045,3
78108,11.403125357000022,48.15880914900004,3
78130,11.534663703000035,48.18694648400003,3
78154,11.615930774000049,48.151116393000045,3
78155,11.615485446000037,48.13095740500006,3
78169,11.428162807000035,48.204548835000026,3
78179,11.569725238000046,48.10456713700006,3
78228,11.517779351000058,48.12405642900006,3
78245,11.516871353000056,48.11507676000008,3
78246,11.423795090000056,48.14284681700008,3
78251,11.595312444000058,48.10647113400007,3
78364,11.428162807000035,48.204548835000026,3
78366,11.498930207000058,48.12530653600004,3
78371,11.583902124000076,48.10476427500004,3
78373,11.563159566000024,48.175964126000046,3
78374,11.562476632000028,48.17607666700008,3
78376,11.483675098000049,48.21361094700006,3
78398,11.561897276000025,48.11282097100008,3
78490,11.62552611600006,48.09630755800004,2
78494,11.568634867000071,48.10331048700005,3
78619,11.436748781000064,48.18742004400008,3
78627,11.644508794000046,48.21198077700007,3
78649,11.491646900000037,48.20124272600003,3
78652,11.624126865000052,48.19549007200004,3
78786,11.483853966000028,48.21343892000005,3
78791,11.579777049000027,48.107899213000046,3
78863,11.512132879000037,48.107869203000064,3
78918,11.71343366900004,48.13896498900005,2
78922,11.616194285000065,48.14857390700007,3
79018,11.599545894000071,48.17020381900005,2
79038,11.510183509000058,48.10665582200005,3
79039,11.538266237000071,48.16531708100007,3
79040,11.507536681000031,48.10531375400007,3
79107,11.502049360000058,48.192885380000064,3
79179,11.537037630000045,48.15173610000005,3
79252,11.491732135000063,48.20129520700005,3
79330,11.598952840000038,48.17255402300003,3
79345,11.47861830100004,48.11553142300005,3
79348,11.420548106000068,48.18925475000003,2
79371,11.624469859000044,48.184944229000045,3
79374,11.491274310000051,48.20166967500006,3
79378,11.608281652000072,48.15564023600008,3
79380,11.58723993800004,48.210279952000064,3
79410,11.553041591000069,48.18408946100004,3
79417,11.623922169000023,48.10435569200007,3
79433,11.597555882000051,48.167319346000056,3
79467,11.585005618000023,48.19879594100007,3
79477,11.456378543000028,48.14065587800008,3
79485,11.496137905000069,48.19417245600005,2
79486,11.461698872000056,48.20764100400004,2
79515,11.53440699300006,48.13787557200004,3
79518,11.428909205000023,48.143546507000046,3
79524,11.614006500000071,48.15241654700003,3
79536,11.51717409400004,48.06716283600008,3
79593,11.495593365000047,48.099295617000045,3
79616,11.478851290000025,48.11550311400004,3
79635,11.624547584000029,48.18491118300005,3
79738,11.61446438400003,48.19155793800008,3
79750,11.522815027000036,48.126758333000055,3
79754,11.55442123000006,48.11235576100007,3
79841,11.518693937000023,48.14138837500008,2
79865,11.58629548600004,48.20546132100003,3
79878,11.61592248200003,48.134572856000034,3
79916,11.447654732000046,48.20433437300005,3
79923,11.61212424100006,48.11028380900007,3
79931,11.517583886000068,48.111515629000046,3
79972,11.585705077000055,48.20233501900003,2
79992,11.678248748000044,48.11940573100002,3
80018,11.585855096000046,48.20316157700007,3
80022,11.401731988000051,48.15759296600004,3
80045,11.499627263000036,48.14345378400003,2
